,,,,,,,,,,,,,,,,,,,,,
DATE,ROOM,BANDS,ADV,DOS,TOTAL ADV,ADV IN,NEED,LEFT,TOTAL DOS,DOS IN,FINAL,FINAL NEED ,CLE TAX TAKEN,BAND PAYOUT,TOTAL COUNT,REMAINING,BAR RINGS,,,,
2018,,,,,,,,,,,,,,,,,,,,,
20-Dec,BALLROOM,Shawn & Shelby,$5.00,$10.00,2,$10.00,$140.00,$130.00,18,$180.00,$190.00,-$50.00,$7.60,$140.00,20,$42.40,$239.97,,,,
21-Dec,BALLROOM,Jessica Lea Mayfield,$18.00,$18.00,105,"$1,890.00","$2,250.00",$360.00,15,$270.00,"$2,160.00",-$90.00,$86.40,"$2,250.00",120,-$176.40,"$1,112.49",,,,
22-Dec,TAVERN,Automatic Weapons,$10.00,$12.00,33,$330.00,$150.00,-$180.00,26,$312.00,$642.00,-$492.00,N/A,$600.00,59,$42.00,$785.60,,,,
23-Dec,BALLROOM,The Modern Electric,$12.00,$14.00,259,"$3,108.00","$1,000.00","-$2,108.00",124,"$1,736.00","$4,844.00","$3,844.00",$193.76,"$4,308.00",383,$342.24,"$4,481.43",,,,
28-Dec,HOUSE OF BLUES,Turkuaz & Too Many Zooz,$24.00,$26.00,808,"$19,392.00","$9,000.00","-$10,392.00",0,$0.00,"$19,392.00","$10,392.00","$1,551.36","$9,000.00",808,"$8,840.64",N/A,,,,
,,,,,,,,,,,,,,,,,,,,,
DATE,ROOM,BANDS,ADV,DOS,TOTAL ADV,ADV IN,NEED,LEFT,TOTAL DOS,DOS IN,FINAL,FINAL NEED ,CLE TAX TAKEN,BAND PAYOUT,TOTAL COUNT,REMAINING,BAR RINGS,,,,
2019,,,,,,,,,,,,,,,,,,,,,
2-Jan,TAVERN,Remember Sports,$10.00,$12.00,24,$240.00,$180.00,-$60.00,46,$552.00,$792.00,-$612.00,N/A,$600.00,70,$192.00,$740.27,,,,
4-Jan,TAVERN,T-Rextasy,$12.00,$12.00,7,$84.00,$300.00,$216.00,32,$384.00,$468.00,-$168.00,N/A,$360.00,39,$108.00,$763.44,,,,
11-Jan,BALLROOM,Book of Love,$25.00,$25.00,126,"$3,150.00","$3,000.00",-$150.00,33,$825.00,"$3,975.00",$975.00,$159.00,"$3,000.00",159,$816.00,"$2,366.72",,,,
16-Jan,TAVERN,Twisted Pine,$10.00,$12.00,6,$60.00,$300.00,$240.00,21,$252.00,$312.00,-$12.00,N/A,$300.00,27,$12.00,$744.99,,,,
19-Jan,TAVERN,Ohmme,$10.00,$12.00,5,$50.00,$250.00,$200.00,11,$132.00,$182.00,$68.00,N/A,$250.00,16,-$68.00,$304.77,,,,
24-Jan,BALLROOM,King Tuff,$18.00,$20.00,140,"$2,520.00","$4,400.00","$1,880.00",52,"$1,040.00","$3,560.00",-$840.00,$142.40,"$4,400.00",192,-$982.40,"$2,820.66",,,,
25-Jan,TAVERN,AHI,$12.00,$15.00,32,$384.00,$300.00,-$84.00,20,$300.00,$684.00,-$384.00,N/A,$300.00,52,$384.00,$730.52,,,,
25-Jan,BALLROOM,Daley + JMSN,$20.00,$25.00,158,"$3,160.00","$4,000.00",$840.00,19,$475.00,"$3,635.00",-$365.00,$145.40,"$4,000.00",177,-$510.40,"$1,792.12",,,,
26-Jan,TAVERN,Window Dogs,$7.00,$10.00,8,$56.00,$150.00,$94.00,68,$680.00,$736.00,-$586.00,N/A,$150.00,76,$586.00,"$1,579.04",,,,
2-Feb,TAVERN,All Is Harvest,$7.00,$10.00,3,$21.00,$16.80,-$4.20,29,$290.00,$311.00,-$294.20,N/A,$248.80,32,$62.20,$385.51,,,,
8-Feb,TAVERN,Zell,$10.00,$10.00,59,$590.00,$390.00,-$200.00,15,$150.00,$740.00,-$350.00,N/A,$540.00,74,$200.00,$639.31,,,,
10-Feb,TAVERN,Holden Laurence,$10.00,$10.00,29,$290.00,$232.00,-$58.00,23,$230.00,$520.00,-$288.00,N/A,$416.00,52,$104.00,$942.42,,,,
15-Feb,TAVERN,Nah Nah,$5.00,$10.00,7,$35.00,$28.00,-$7.00,43,$430.00,$465.00,-$437.00,N/A,$372.00,50,$93.00,"$1,152.93",,,,
16-Feb,TAVERN,Weeknight,$10.00,$10.00,4,$40.00,$32.00,-$8.00,24,$240.00,$280.00,-$248.00,N/A,$224.00,28,$56.00,$702.80,,,,
20-Feb,TAVERN,See Through Dresses,$10.00,$12.00,1,$10.00,$8.00,-$2.00,2,$24.00,$34.00,-$26.00,N/A,$27.20,3,$6.80,$249.60,,,,
22-Feb,TAVERN,Milo,$15.00,$15.00,95,"$1,425.00","$1,140.00",-$285.00,18,$270.00,"$1,695.00",-$555.00,N/A,"$1,356.00",113,$339.00,"$1,242.30",,,,
24-Feb,TAVERN,Wild Moccasins,$10.00,$12.00,0,$0.00,$0.00,$0.00,5,$60.00,$60.00,-$60.00,N/A,$48.00,5,$12.00,$239.90,,,,
26-Feb,TAVERN,Porter & Sayles,$10.00,$12.00,11,$110.00,$88.00,-$22.00,9,$108.00,$218.00,-$130.00,N/A,$174.40,20,$43.60,$268.50,,,,
27-Feb,TAVERN,Leeds + Jimmy Gnecco,$20.00,$20.00,22,$440.00,$352.00,-$88.00,7,$140.00,$580.00,-$228.00,N/A,$464.00,29,$116.00,$883.12,,,,
1-Mar,MAHALLS,Ma Holos + Jivviden,$10.00,$10.00,7,$70.00,$56.00,-$14.00,106,"$1,060.00","$1,130.00","-$1,074.00",N/A,$904.00,113,$226.00,N/A,,,,
2-Mar,BALLROOM,TY SEGALL *SOLD OUT!,$22.00,$24.00,500,"$11,000.00","$7,000.00","-$4,000.00",0,$0.00,"$11,000.00","$4,000.00",$440.00,"$7,000.00",500,"$3,560.00","$7,038.14",,,,
4-Mar,TAVERN,PSYCHEDELIC PORN CRUMPETS *SOLD OUT!,$15.00,$18.00,151,"$2,265.00","$1,000.00","-$1,265.00",0,$0.00,"$2,265.00","-$1,265.00",N/A,"$1,000.00",151,"$1,265.00","$1,553.25",,,,
5-Mar,BALLROOM,The Beths + Bad Bad Hats,$15.00,$17.00,270,"$4,050.00","$2,632.50","-$1,417.50",45,$765.00,"$4,815.00","$2,182.50",$192.60,"$3,129.75",315,"$1,492.65","$3,252.46",,,,
8-Mar,BALLROOM,KID Trunks + Craig Xen,$20.00,$25.00,212,"$4,240.00","$6,000.00","$1,760.00",30,$750.00,"$4,990.00","-$1,010.00",$199.60,"$6,000.00",242,"-$1,209.60",$485.64,,,,
11-Mar,TAVERN,Fate's Got A Driver,$12.00,$15.00,11,$132.00,$600.00,$468.00,4,$60.00,$192.00,$408.00,N/A,$600.00,15,-$408.00,$316.81,,,,
12-Mar,BALLROOM,Cass McCombs,$15.00,$18.00,88,"$1,320.00","$3,000.00","$1,680.00",5,$90.00,"$1,410.00","-$1,590.00",$56.40,"$3,000.00",93,"-$1,646.40","$1,120.90",,,,
13-Mar,BALLROOM,Yoke Lore,$15.00,$15.00,147,"$2,205.00","$1,200.00","-$1,005.00",8,$120.00,"$2,325.00","$1,125.00",$93.00,"$1,200.00",155,"$1,032.00","$1,508.93",,,,
19-Mar,TAVERN,Chastity,$10.00,$12.00,17,$170.00,$150.00,-$20.00,9,$108.00,$278.00,-$128.00,N/A,$150.00,26,$128.00,$282.58,,,,
20-Mar,TAVERN,Island,$15.00,$15.00,10,$150.00,$800.00,$650.00,8,$120.00,$270.00,$530.00,N/A,$500.00,18,-$230.00,$268.41,,,,
22-Mar,BALLROOM,Jukebox the Ghost/Mowgli's *SOLD OUT,$22.00,$25.00,500,"$11,000.00","$8,000.00","-$3,000.00",0,$0.00,"$11,000.00","$3,000.00",$440.00,"$8,000.00",500,"$2,560.00","$3,590.02",,,,
25-Mar,AGORA,BETTER OBLIVION *SOLD OUT!,$22.00,$22.00,"1,317","$28,974.00","$20,000.00","-$8,974.00",0,$0.00,"$28,974.00","$8,974.00","$2,317.92","$20,000.00",1317,"$5,268.00",N/A,,,,
26-Mar,BALLROOM,The Kruger Brothers,$20.00,$25.00,62,"$1,240.00","$2,000.00",$760.00,24,$600.00,"$1,840.00",-$160.00,$73.60,"$2,500.00",86,-$733.60,$835.55,,,,
26-Mar,TAVERN,Malcolm Holcombe,$12.00,$15.00,10,$120.00,$400.00,$280.00,18,$270.00,$390.00,$10.00,N/A,$350.00,28,$40.00,$572.02,,,,
27-Mar,BALLROOM,CAAMP: NIGHT 1 *SOLD OUT!,$15.00,$15.00,500,"$7,500.00","$5,250.00","-$2,250.00",0,$0.00,"$7,500.00","$2,250.00",$300.00,"$5,250.00",500,"$1,950.00","$5,975.79",,,,
28-Mar,BALLROOM,CAAMP: NIGHT 2 *SOLD OUT!,$15.00,$15.00,500,"$7,500.00","$4,685.82","-$2,814.18",0,$0.00,"$7,500.00","$2,814.18",$300.00,"$4,685.82",500,"$2,514.18","$5,341.41",,,,
28-Mar,TAVERN,Teen,$10.00,$12.00,10,$100.00,$300.00,$200.00,16,$192.00,$292.00,$8.00,N/A,$300.00,26,-$8.00,$572.24,,,,
30-Mar,TAVERN,Post Saga,$10.00,$10.00,46,$460.00,$368.00,-$92.00,53,$530.00,$990.00,-$622.00,N/A,$840.00,99,$150.00,"$1,473.01",,,,
1-Apr,BALLROOM,David Archuleta,$25.00,$30.00,192,"$4,800.00","$7,000.00","$2,200.00",9,$270.00,"$5,070.00","-$1,930.00",$202.80,"$7,000.00",201,"-$2,132.80","$1,055.87",,,,
2-Apr,TAVERN,Tow'rs,$10.00,$12.00,55,$550.00,$440.00,-$110.00,16,$192.00,$742.00,-$302.00,N/A,$593.60,71,$148.40,$564.00,,,,
9-Apr,TAVERN,The Last Bison,$12.00,$14.00,11,$132.00,$700.00,$568.00,7,$98.00,$230.00,$470.00,N/A,$400.00,18,-$170.00,$312.84,,,,
11-Apr,TAVERN,Deaf Poets,$10.00,$10.00,1,$10.00,$125.00,$115.00,28,$280.00,$290.00,-$165.00,N/A,$232.00,29,$58.00,$386.43,,,,
12-Apr,TAVERN,Umojah Nation,$10.00,$10.00,7,$70.00,$56.00,-$14.00,45,$450.00,$520.00,-$464.00,N/A,$364.00,52,$156.00,"$1,221.29",,,,
13-Apr,BALLROOM,Polars,$10.00,$12.00,152,"$1,520.00","$1,064.00",-$456.00,63,$756.00,"$2,276.00","$1,212.00",$91.04,"$1,704.00",215,$480.96,"$3,487.04",,,,
13-Apr,TAVERN,Cereal Banter + Tiger Sex,$7.00,$10.00,1,$7.00,$5.60,-$1.40,34,$340.00,$347.00,-$341.40,N/A,$277.60,35,$69.40,$855.19,,,,
14-Apr,TAVERN,Aaron Lee Tasjan,$13.00,$15.00,77,"$1,001.00","$1,000.00",-$1.00,13,$195.00,"$1,196.00",-$196.00,N/A,"$1,000.00",90,$196.00,$889.85,,,,
14-Apr,BALLROOM,Neyla Pekarek,$18.00,$20.00,10,$180.00,"$1,250.00","$1,070.00",5,$100.00,$280.00,-$970.00,$11.20,"$1,250.00",15,-$981.20,$506.34,,,,
15-Apr,BALLROOM,of Montreal,$20.00,$22.00,279,"$5,580.00","$5,000.00",-$580.00,59,"$1,298.00","$6,878.00","$1,878.00",$275.12,"$5,000.00",338,"$1,602.88",$0.00,,,,
17-Apr,TAVERN,Delvon Lamarr Organ Trio Night 1,$15.00,$15.00,71,"$1,065.00","$1,000.00",-$65.00,50,$750.00,"$1,815.00",-$815.00,N/A,"$1,000.00",121,$815.00,"$1,987.60",,,,
18-Apr,TAVERN,DLOT NIGHT 2 *SOLD OUT!,$15.00,$15.00,105,"$1,575.00","$1,000.00",-$575.00,45,$675.00,"$2,250.00","-$1,250.00",N/A,"$1,000.00",150,"$1,250.00","$2,640.17",,,,
19-Apr,BALLROOM,Wild Belle,$14.00,$17.00,98,"$1,372.00","$2,250.00",$878.00,35,$595.00,"$1,967.00",-$283.00,$78.68,"$2,250.00",133,-$361.68,"$1,915.26",,,,
20-Apr,BALLROOM,The George Martins,$15.00,$25.00,43,$645.00,"$1,600.00",$955.00,94,"$2,350.00","$2,995.00","$1,395.00",$119.80,"$1,600.00",137,"$1,275.20","$1,915.26",,,,
21-Apr,BALLROOM,The Murlocs,$15.00,$18.00,202,"$3,030.00","$2,121.00",-$909.00,50,$900.00,"$3,930.00","$1,809.00",$157.20,"$2,751.00",252,"$1,021.80","$3,263.49",,,,
22-Apr,BALLROOM,"Foxing + Now, Now",$20.00,$20.00,250,"$5,000.00","$5,250.00",$250.00,33,$660.00,"$5,660.00",$410.00,$226.40,"$5,250.00",283,$183.60,"$2,592.32",,,,
23-Apr,TAVERN,Animal Years,$12.00,$12.00,20,$240.00,$400.00,$160.00,16,$192.00,$432.00,-$32.00,N/A,$400.00,36,$32.00,$316.44,,,,
23-Apr,BALLROOM,The Dip,$15.00,$15.00,108,"$1,620.00","$1,750.00",$130.00,21,$315.00,"$1,935.00",$185.00,$77.40,"$1,750.00",129,$107.60,"$1,829.91",,,,
26-Apr,BALLROOM,She Wants Revenge,$25.00,$25.00,230,"$5,750.00","$5,000.00",-$750.00,30,$750.00,"$6,500.00","$1,500.00",$260.00,"$5,000.00",260,"$1,240.00","$3,719.49",,,,
1-May,BALLROOM,PUP *SOLD OUT!,$20.00,$20.00,500,"$10,000.00","$7,000.00","-$3,000.00",0,$0.00,"$10,000.00","-$3,000.00",$0.00,"$7,000.00",500,"$3,000.00","$4,723.16",,,,
2-May,BALLROOM,COLTER WALL *SOLD OUT!,$20.00,$22.00,500,"$10,000.00","$8,000.00","-$2,000.00",0,$0.00,"$10,000.00","$2,000.00",$400.00,"$8,000.00",500,"$1,600.00","$6,841.79",,,,
6-May,TAVERN,Strand of Oaks,$18.00,$18.00,102,"$1,836.00","$1,000.00",-$836.00,7,$126.00,"$1,962.00",-$962.00,N/A,"$1,000.00",109,$962.00,$0.00,,,,
8-May,GROG SHOP,Epic Bread Men,$10.00,$12.00,51,$510.00,$331.50,-$178.50,25,$300.00,$810.00,-$478.50,N/A,$526.50,76,$283.50,N/A,,,,
9-May,TAVERN,Caroline Rose,$12.00,$15.00,101,"$1,212.00",$800.00,-$412.00,19,$285.00,"$1,497.00",-$697.00,N/A,$800.00,120,$697.00,"$1,170.94",,,,
10-May,BALLROOM,KT Tunstall,$25.00,$30.00,340,"$8,500.00","$7,000.00","-$1,500.00",21,$630.00,"$9,130.00","-$2,130.00",$0.00,"$7,000.00",361,"$2,130.00","$3,192.60",,,,
10-May,TAVERN,Bright Light Social Hour,$15.00,$15.00,53,$795.00,"$1,250.00",$455.00,11,$165.00,$960.00,$290.00,N/A,"$1,250.00",64,-$290.00,"$1,288.07",,,,
12-May,TAVERN,Sego,$10.00,$12.00,2,$20.00,$14.00,-$6.00,11,$132.00,$152.00,-$138.00,N/A,$106.40,13,$45.60,$253.41,,,,
13-May,HOUSE OF BLUES,Shakey Graves,$27.00,$30.00,1178,"$31,806.00","$30,000.00","-$1,806.00",67,"$2,010.00","$33,816.00","$3,816.00","$2,705.28","$30,000.00",1245,"$1,110.72",N/A,,,,
14-May,BALLROOM,IDLES *SOLD OUT!,$15.00,$15.00,504,"$7,560.00","$5,292.00","-$2,268.00",0,$0.00,"$7,560.00","$2,268.00",$302.40,"$5,292.00",504,"$1,965.60","$4,785.22",,,,
15-May,BALLROOM,Xiu Xiu,$15.00,$17.00,81,"$1,215.00","$2,300.00","$1,085.00",24,$408.00,"$1,623.00",-$677.00,$64.92,"$2,300.00",105,-$741.92,$708.11,,,,
15-May,TAVERN,The Sea The Sea,$10.00,$12.00,15,$150.00,$97.50,-$52.50,7,$84.00,$234.00,-$136.50,N/A,$152.10,22,$81.90,$275.42,,,,
18-May,TAVERN,Andy Jenkins,$12.00,$12.00,0,$0.00,$0.00,$0.00,29,$348.00,$348.00,-$348.00,N/A,$226.20,29,$121.80,$629.76,,,,
20-May,TAVERN,Molly Burch,$12.00,$12.00,33,$396.00,$500.00,$104.00,32,$384.00,$780.00,-$280.00,N/A,$500.00,65,$280.00,$981.77,,,,
21-May,AGORA,Walk of the Earth,$35.00,$39.50,641,"$22,435.00","$40,000.00","$17,565.00",35,"$1,382.50","$23,817.50","-$16,182.50","$1,905.40","$40,000.00",676,$676.00,N/A,,,,
21-May,BALLROOM,PUP *SOLD OUT!,$20.00,$20.00,500,"$10,000.00","$7,000.00","-$3,000.00",0,$0.00,"$10,000.00","-$3,000.00",$0.00,"$7,000.00",500,"$3,000.00","$3,422.87",,,,
21-May,TAVERN,Andrew Belle,$17.00,$20.00,111,"$1,887.00","$1,450.00",-$437.00,13,$260.00,"$2,147.00",-$697.00,N/A,"$1,300.00",124,$847.00,"$1,174.24",,,,
22-May,BALLROOM,Brass Against,$18.00,$20.00,129,"$2,322.00","$1,200.00","-$1,122.00",47,$940.00,"$3,262.00","$2,062.00",$130.48,"$1,200.00",176,"$1,931.52","$2,373.47",,,,
24-May,BALLROOM,The 5.6.7.8's,$20.00,$22.00,187,"$3,740.00","$3,500.00",-$240.00,60,"$1,320.00","$5,060.00","$1,560.00",$202.40,"$3,500.00",247,"$1,357.60","$3,076.76",,,,
25-May,TAVERN,André Costello,$10.00,$12.00,0,$0.00,$0.00,$0.00,12,$144.00,$144.00,-$144.00,N/A,$93.60,12,$50.40,$350.33,,,,
29-May,TAVERN,Lincoln Durham,$15.00,$15.00,56,$840.00,"$1,000.00",$160.00,9,$135.00,$975.00,$25.00,N/A,"$1,000.00",65,-$25.00,$975.00,,,,
30-May,TAVERN,Grapetooth,$13.00,$15.00,32,$416.00,$291.20,-$124.80,51,$765.00,"$1,181.00",-$889.80,N/A,$826.70,83,$354.30,"$1,181.00",,,,
31-May,TAVERN,Habibi,$12.00,$12.00,33,$396.00,$500.00,$104.00,44,$528.00,$924.00,-$424.00,N/A,$500.00,77,$424.00,$924.00,,,,
2-Jun,BALLROOM,Mason Jennings,$20.00,$25.00,83,"$1,660.00","$4,500.00","$2,840.00",20,$500.00,"$2,160.00","-$2,340.00",$86.40,"$4,500.00",103,"-$2,426.40","$2,054.40",,,,
3-Jun,TAVERN,U.S. Girls,$12.00,$15.00,56,$672.00,"$1,000.00",$328.00,50,$750.00,"$1,422.00",-$422.00,N/A,"$1,000.00",106,$422.00,"$1,422.00",,,,
8-Jun,GROG SHOP,Sweet Spirit,$12.00,$15.00,30,$360.00,"$2,000.00","$1,640.00",23,$345.00,$705.00,"-$1,295.00",$21.15,"$2,000.00",53,"-$1,316.15",N/A,,,,
10-Jun,TAVERN,Leggy,$10.00,$12.00,3,$30.00,$400.00,$370.00,12,$144.00,$174.00,$226.00,N/A,$400.00,15,-$226.00,$322.98,,,,
11-Jun,BALLROOM,Charly Bliss,$15.00,$17.00,90,"$1,350.00","$3,500.00","$2,150.00",28,$476.00,"$1,826.00","-$1,674.00",$73.04,"$3,500.00",118,"-$1,747.04","$1,044.40",,,,
12-Jun,BALLROOM,Dead Meadow,$15.00,$15.00,92,"$1,380.00","$3,500.00","$2,120.00",47,$705.00,"$2,085.00","-$1,415.00",$83.40,"$3,500.00",139,"-$1,498.40","$2,149.72",,,,
13-Jun,BALLROOM,The Lemon Twigs,$15.00,$17.00,133,"$1,995.00","$3,500.00","$1,505.00",26,$442.00,"$2,437.00","-$1,063.00",$97.48,"$3,500.00",159,"-$1,160.48","$1,477.28",,,,
13-Jun,TAVERN,Blackfoot Gypsies,$10.00,$12.00,7,$70.00,$300.00,$230.00,17,$204.00,$274.00,$26.00,N/A,$300.00,24,-$26.00,$585.36,,,,
15-Jun,BALLROOM,TANK & THE BANGAS *SOLD OUT!,$20.00,$20.00,501,"$10,020.00","$7,014.00","-$3,006.00",0,$0.00,"$10,020.00","$3,006.00",$400.80,"$7,014.00",501,"$2,605.20","$4,535.97",,,,
17-Jun,TAVERN,Sizzy Rocket,$12.00,$15.00,69,$828.00,$450.00,-$378.00,18,$270.00,"$1,098.00",-$648.00,N/A,$450.00,87,$648.00,$635.35,,,,
20-Jun,BALLROOM,Coco Montoya,$20.00,$22.00,97,"$1,940.00","$2,000.00",$60.00,15,$330.00,"$2,270.00",$270.00,$90.80,"$2,000.00",112,$179.20,"$1,334.14",,,,
20-Jun,TAVERN,The Vandoliers,$10.00,$12.00,18,$180.00,$600.00,$420.00,23,$276.00,$456.00,$144.00,N/A,$600.00,41,-$144.00,$793.02,,,,
21-Jun,TAVERN,Herzog + Frontier Folk Nebraska,$7.00,$10.00,19,$133.00,$106.40,-$26.60,16,$160.00,$293.00,-$186.60,N/A,$234.40,35,$58.60,"$1,026.69",,,,
22-Jun,TAVERN,Will Varley,$13.00,$15.00,43,$559.00,$600.00,$41.00,15,$225.00,$784.00,-$184.00,N/A,$600.00,58,$184.00,$873.21,,,,
26-Jun,HOUSE OF BLUES,Car Seat Headrest,$27.00,$30.00,842,"$22,734.00","$40,000.00","$17,266.00",0,$0.00,"$22,734.00","-$17,266.00","$1,818.72","$40,000.00",842,"-$19,084.72",N/A,,,,
27-Jun,BALLROOM,Delta Rae,$20.00,$22.00,142,"$2,840.00","$4,000.00","$1,160.00",13,$286.00,"$3,126.00",-$874.00,$125.04,"$4,000.00",155,-$999.04,"$1,585.15",,,,
28-Jun,BALLROOM,FM-84,$15.00,$17.00,223,"$3,345.00","$3,500.00",$155.00,27,$459.00,"$3,804.00",$304.00,$152.16,"$3,500.00",250,$151.84,"$2,061.16",,,,
29-Jun,BALLROOM,ITEM,$8.00,$10.00,13,$104.00,$721.00,$617.00,96,$960.00,"$1,064.00",$343.00,$42.56,$721.00,109,$300.44,"$1,778.45",,,,
29-Jun,TAVERN,Dressy Bessy,$12.00,$14.00,41,$492.00,"$1,000.00",$508.00,37,$518.00,"$1,010.00",-$10.00,N/A,"$1,000.00",78,$10.00,$0.00,,,,
3-Jul,BALLROOM,Dumpstaphunk,$20.00,$20.00,122,"$2,440.00","$4,000.00","$1,560.00",0,$0.00,"$2,440.00","-$1,560.00",$97.60,"$4,000.00",122,"-$1,657.60",$0.00,,,,
11-Jul,TAVERN,Heart Bones,$15.00,$15.00,7,$105.00,"$1,000.00",$895.00,0,$0.00,$105.00,$895.00,N/A,"$1,000.00",7,-$895.00,$0.00,,,,
12-Jul,TAVERN,Golden Vessel,$15.00,$15.00,15,$225.00,"$1,000.00",$775.00,0,$0.00,$225.00,$775.00,N/A,"$1,000.00",15,-$775.00,$0.00,,,,
14-Jul,BALLROOM,TWRP + Protomen,$20.00,$25.00,423,"$8,460.00","$4,000.00","-$4,460.00",0,$0.00,"$8,460.00","$4,460.00",$338.40,"$4,000.00",423,"$4,121.60",$0.00,,,,
16-Jul,BALLROOM,The Marías,$15.00,$18.00,86,"$1,290.00","$2,500.00","$1,210.00",0,$0.00,"$1,290.00","-$1,210.00",$51.60,"$2,500.00",86,"-$1,261.60",$0.00,,,,
17-Jul,TAVERN,Combo Chimbita,$12.00,$14.00,15,$180.00,$600.00,$420.00,0,$0.00,$180.00,$420.00,N/A,$600.00,15,-$420.00,$0.00,,,,
UPCOMING,,,,,,,,,,,,,,,,,,,,,
18-Jul,BALLROOM,The Soul Rebels,$20.00,$25.00,25,$500.00,"$4,500.00","$4,000.00",0,$0.00,$500.00,"-$4,000.00",$20.00,"$4,500.00",25,"-$4,020.00",$0.00,,,,
25-Jul,TAVERN,TLATW & Fickle Hellcat,$12.00,$12.00,18,$216.00,$250.00,$34.00,0,$0.00,$216.00,$34.00,N/A,$250.00,18,-$34.00,$0.00,,,,
19-Jul,BALLROOM,Juice,$15.00,$17.00,5,$75.00,"$1,200.00","$1,125.00",0,$0.00,$75.00,"-$1,125.00",$3.00,"$1,200.00",5,"-$1,128.00",$0.00,,,,
23-Jul,AGORA,The Growlers,$32.50,$37.50,476,"$15,470.00","$40,000.00","$24,530.00",0,$0.00,"$15,470.00","-$24,530.00","$1,237.60","$40,000.00",476,"-$25,767.60",N/A,,,,
23-Jul,TAVERN,Ok Mayday,$10.00,$12.00,2,$20.00,$200.00,$180.00,0,$0.00,$20.00,$180.00,N/A,$200.00,2,-$180.00,$0.00,,,,
24-Jul,BALLROOM,Durand Jones & The Indications,$16.00,$18.00,82,"$1,312.00","$3,250.00","$1,938.00",0,$0.00,"$1,312.00","-$1,938.00",$52.48,"$4,500.00",82,"-$3,240.48",$0.00,,,,
24-Jul,TAVERN,Planet Booty,$10.00,$10.00,62,$620.00,$434.00,-$186.00,0,$0.00,$620.00,-$186.00,N/A,$434.00,62,$186.00,$0.00,,,,
25-Jul,TAVERN,TLATW & Catching,$12.00,$12.00,11,$132.00,$250.00,$118.00,0,$0.00,$132.00,$118.00,N/A,$250.00,11,-$118.00,$0.00,,,,
26-Jul,BALLROOM,Snail Mail,$16.00,$18.00,260,"$4,160.00","$4,500.00",$340.00,0,$0.00,"$4,160.00",-$340.00,$166.40,"$4,500.00",260,-$506.40,$0.00,,,,
29-Jul,TAVERN,Part Time & Gary Wilson,$15.00,$15.00,20,$300.00,"$1,100.00",$800.00,0,$0.00,$300.00,$800.00,N/A,"$1,100.00",20,-$800.00,$0.00,,,,
30-Jul,TAVERN,Illiterate Light,$12.00,$14.00,4,$48.00,$550.00,$502.00,0,$0.00,$48.00,$502.00,N/A,$550.00,4,-$502.00,$0.00,,,,
1-Aug,TAVERN,TLATW & Holden Laurence,$12.00,$12.00,6,$72.00,$250.00,$178.00,0,$0.00,$72.00,$178.00,N/A,$250.00,6,-$178.00,$0.00,,,,
9-Aug,BALLROOM,Jared & The Mill,$12.00,$15.00,19,$228.00,"$1,000.00",$772.00,0,$0.00,$228.00,-$772.00,$9.12,"$1,000.00",19,-$781.12,$0.00,,,,
21-Aug,TAVERN,Jack Broadbent,$17.00,$25.00,0,$0.00,"$1,000.00","$1,000.00",5,$125.00,$125.00,$875.00,N/A,$250.00,5,-$125.00,$0.00,,,,
4-Sep,BALLROOM,Dirtwire,$18.00,$21.00,10,$180.00,"$2,000.00","$1,820.00",0,$0.00,$180.00,"-$1,820.00",$7.20,"$2,000.00",10,"-$1,827.20",$0.00,,,,
7-Sep,TAVERN,The Roosevelts,$13.00,$15.00,0,$0.00,$700.00,$700.00,0,$0.00,$0.00,$700.00,N/A,$700.00,0,-$700.00,$0.00,,,,
8-Sep,TAVERN,T-Rextasy,$12.00,$12.00,0,$0.00,$300.00,$300.00,0,$0.00,$0.00,$300.00,N/A,$300.00,0,-$300.00,$0.00,,,,
13-Sep,BALLROOM,Twin Peaks,$18.00,$20.00,69,"$1,242.00",$931.50,-$310.50,0,$0.00,"$1,242.00",$310.50,$49.68,"$1,204.74",69,-$12.42,$0.00,,,,
20-Sep,BALLROOM,Band of Skulls,$25.00,$25.00,89,"$2,225.00","$7,000.00","$4,775.00",0,$0.00,"$2,225.00","-$4,775.00",$89.00,"$7,000.00",89,"-$4,864.00",$0.00,,,,
24-Sep,TAVERN,Rose of the West,$10.00,$12.00,0,$0.00,$300.00,$300.00,0,$0.00,$0.00,$300.00,N/A,$300.00,0,-$300.00,$0.00,,,,
26-Sep,AGORA,Mac Demarco,$38.99,$43.99,1234,"$48,113.66","$40,000.00","-$8,113.66",0,$0.00,"$48,113.66","$8,113.66","$3,849.09","$40,000.00",1234,"$2,468.00",N/A,,,,
6-Oct,BALLROOM,Moonchild,$23.50,$26.00,0,$0.00,"$6,000.00","$6,000.00",0,$0.00,$0.00,"-$6,000.00",$0.00,"$6,500.00",0,"-$6,500.00",$0.00,,,,
16-Oct,TAVERN,Bedroom + Dreamgirl,$15.00,$15.00,0,$0.00,"$1,000.00","$1,000.00",0,$0.00,$0.00,"$1,000.00",N/A,"$1,000.00",0,"-$1,000.00",$0.00,,,,
23-Oct,BALLROOM,BJ The Chicago Kid,$20.00,$25.00,0,$0.00,"$6,500.00","$6,500.00",0,$0.00,$0.00,"-$6,500.00",$0.00,"$6,500.00",0,"-$6,500.00",$0.00,,,,
