DATE,ROOM,BANDS,ADV,DOS,TOTAL ADV,ADV IN,NEED,LEFT,TOTAL DOS,DOS IN,FINAL,FINAL NEED ,CLE TAX TAKEN,BAND PAYOUT,TOTAL COUNT,REMAINING,BAR RINGS,,,
5/11/18,BALLROOM,Teddy Boys,$8.00,$10.00,15,$120.00,$400.00,$280.00,156,"$1,560.00","$1,680.00","-$1,280.00",$67.20,"$1,265.00",171,$347.80,"$3,982.62",,,
5/12/18,BALLROOM,The Floorwalkers,$10.00,$12.00,14,$140.00,$400.00,$260.00,54,$648.00,$788.00,-$388.00,$31.52,$491.00,68,$265.48,"$1,219.10",,,
5/14/18,TAVERN,Mainland,$12.00,$15.00,24,$288.00,$700.00,$412.00,7,$105.00,$393.00,$307.00,N/A,$700.00,31,-$307.00,$320.48,,,
5/15/18,BALLROOM,Jukebox the Ghost,$18.00,$20.00,347,"$6,246.00","$5,500.00",-$746.00,19,$380.00,"$6,626.00","-$1,126.00",$265.04,"$5,000.00",366,"$1,360.96",$0.00,,,
5/16/18,BALLROOM,Squirrel Nut Zippers,$30.00,$35.00,228,"$6,840.00","$8,150.00","$1,310.00",51,"$1,785.00","$8,625.00",-$475.00,$345.00,"$8,000.00",279,$280.00,"$3,711.01",,,
5/17/18,TAVERN,Pink Mexico,$10.00,$10.00,1,$10.00,$200.00,$190.00,38,$380.00,$390.00,-$190.00,N/A,$200.00,39,$190.00,$341.71,,,
5/19/18,TAVERN,Handsome Ghost,$15.00,$15.00,86,"$1,290.00","$1,000.00",-$290.00,11,$165.00,"$1,455.00",-$455.00,N/A,"$1,000.00",97,$455.00,$660.70,,,
5/22/18,BALLROOM,MARCUS KING BAND *SOLD OUT,$17.00,$20.00,501,"$8,517.00","$4,150.00","-$4,367.00",0,$0.00,"$8,517.00","-$4,367.00",$340.68,"$6,000.00",501,"$2,176.32","$5,492.03",,,
5/22/18,TAVERN,Matthew Logan Vasquez,$12.00,$12.00,15,$180.00,$200.00,$20.00,11,$132.00,$312.00,-$112.00,N/A,$220.00,26,$92.00,$611.67,,,
5/23/18,TAVERN,Michael Rault,$10.00,$10.00,3,$30.00,$600.00,$570.00,25,$250.00,$280.00,$320.00,N/A,$300.00,28,-$20.00,$564.83,,,
5/24/18,TAVERN,Michelle Romary,$10.00,$10.00,9,$90.00,$200.00,$110.00,10,$100.00,$190.00,$10.00,N/A,$200.00,19,-$10.00,$438.72,,,
5/26/18,TAVERN,Istvan Medgyesi,$13.00,$13.00,2,$26.00,$400.00,$374.00,37,$481.00,$507.00,-$107.00,N/A,$400.00,39,$107.00,$841.26,,,
5/31/18,BALLROOM,Marcia Ball,$30.50,$35.00,74,"$2,257.00","$3,650.00","$1,393.00",13,$455.00,"$2,712.00",$938.00,$108.48,"$3,500.00",87,-$788.00,"$1,565.88",,,
6/1/18,TAVERN,Bro Dylan,$8.00,$10.00,53,$424.00,$200.00,-$224.00,37,$370.00,$794.00,-$594.00,N/A,$645.00,90,$149.00,"$1,176.91",,,
6/2/18,BALLROOM,The Lighthouse and The Whaler,$12.00,$15.00,74,$888.00,"$2,300.00","$1,412.00",51,$765.00,"$1,653.00",$647.00,$66.12,"$2,300.00",125,-$713.12,"$1,195.29",,,
6/2/18,TAVERN,label me lecter,$7.00,$10.00,4,$28.00,$200.00,$172.00,32,$320.00,$348.00,-$148.00,N/A,$125.00,36,$223.00,$278.26,,,
6/4/18,TAVERN,Sweepyhead,$5.00,$7.00,0,$0.00,$200.00,$200.00,15,$105.00,$105.00,$95.00,N/A,$200.00,15,-$95.00,$137.18,,,
6/6/18,HOUSE OF BLUES,BILLIE EILISH *SOLD OUT,$20.00,$22.00,1200,"$24,000.00","$16,800.00","-$7,200.00",0,$0.00,"$24,000.00","-$7,200.00","$1,920.00","$16,800.00",1200,"$5,280.00",N/A,,,
6/8/18,TAVERN,Scott Helman,$10.00,$10.00,28,$280.00,$300.00,$20.00,13,$130.00,$410.00,-$110.00,N/A,$300.00,41,$110.00,$472.26,,,
6/12/18,BALLROOM,Typhoon,$18.00,$20.00,131,"$2,358.00","$5,550.00","$3,192.00",13,$260.00,"$2,618.00","$2,932.00",$104.72,"$5,000.00",144,"-$2,486.72","$1,225.19",,,
6/12/18,TAVERN,Quiet Slang,$13.00,$15.00,24,$312.00,$900.00,$588.00,8,$120.00,$432.00,$468.00,N/A,$650.00,32,-$218.00,$425.70,,,
6/13/18,BALLROOM,Real Estate,$22.00,$25.00,372,"$8,184.00","$7,050.00","-$1,134.00",67,"$1,675.00","$9,859.00","-$2,809.00",$394.36,"$7,000.00",439,"$2,464.64","$3,650.87",,,
6/13/18,TAVERN,Animal Years,$10.00,$12.00,32,$320.00,$800.00,$480.00,22,$264.00,$584.00,$216.00,N/A,$500.00,54,$84.00,$528.92,,,
6/14/18,BALLROOM,Jungle,$20.00,$20.00,169,"$3,380.00","$6,240.00","$2,860.00",7,$140.00,"$3,520.00","$2,720.00",$140.80,"$5,000.00",176,"-$1,620.80","$1,965.09",,,
6/14/18,TAVERN,Bad Bad Hats,$12.00,$12.00,57,$684.00,$900.00,$216.00,14,$168.00,$852.00,$48.00,N/A,$900.00,71,-$48.00,$715.23,,,
6/17/18,TAVERN,Bodega,$10.00,$12.00,13,$130.00,$200.00,$70.00,6,$72.00,$202.00,-$2.00,N/A,$200.00,19,$2.00,$407.50,,,
6/18/18,TAVERN,Christina Holmes,$10.00,$10.00,2,$20.00,$200.00,$180.00,21,$210.00,$230.00,-$30.00,N/A,$200.00,23,$30.00,$190.32,,,
6/19/18,TAVERN,Yeek,$12.00,$12.00,23,$276.00,$650.00,$374.00,12,$144.00,$420.00,$230.00,N/A,$550.00,35,-$130.00,$423.23,,,
6/22/18,GROG SHOP,Priests,$10.00,$12.00,32,$320.00,"$1,000.00",$680.00,70,$840.00,"$1,160.00",-$160.00,$348.00,"$1,000.00",102,$160.00,N/A,,,
6/25/18,TAVERN,THE DIP *SOLD OUT,$10.00,$12.00,55,$550.00,$400.00,-$150.00,95,"$1,140.00","$1,690.00","-$1,290.00",N/A,"$1,350.00",150,$340.00,"$1,538.92",,,
6/27/18,BALLROOM,BISHOP BRIGGS *SOLD OUT,$25.00,$25.00,479,"$11,975.00","$8,000.00","-$3,975.00",10,$250.00,"$12,225.00","-$4,225.00",$489.00,"$8,089.00",489,"$3,647.00","$3,546.19",,,
6/29/18,BALLROOM,DEAD BOYS *SOLD OUT,$18.00,$20.00,303,"$5,454.00","$2,550.00","-$2,904.00",127,"$2,540.00","$7,994.00","-$5,444.00",$319.76,"$4,735.20",430,"$2,939.04","$4,655.89",,,
